32758996.36,SZ300610,30753985.95,827520859.84,827520859.84,105834529.28,晨化股份,2018-06-30,11.11,394348889.5,703412908.02,124107951.82,81902219.46,2.309E7,101775179.93,214953893.35,26086994.28,3856264.68,,601958711.94,124107951.82,37629171.75,15000.0
11915834.21,SZ300610,10230859.9,813595267.27,813595267.27,96561480.64,晨化股份,2018-03-31,0,182338035.88,696947326.71,116647940.56,71604644.55,8580000.0,94141704.56,209110731.2,26086994.28,3488620.67,31444.44,605221464.42,116647940.56,13220253.99,15000.0
78887694.74,SZ300610,10303714.81,814565647.91,814565647.91,84172904.2,晨化股份,2017-12-31,0,703400869.93,683797427.57,130768220.34,54710181.52,4.527E7,108125292.22,197194896.99,26086994.28,3121535.97,31444.44,616305985.66,130768220.34,90385900.66,15000.0
62019528.44,SZ300610,9972936.84,789587788.28,789587788.28,72586522.92,晨化股份,2017-09-30,0,513247531.81,666214379.2,123373409.08,52587844.33,3.286E7,100789969,188230734.79,18182990.18,3478090.43,27912.33,610492206.55,123373409.08,70248414.25,10000.0
37497689.84,SZ300610,10034761.23,751442009.71,751442009.71,72349859.66,晨化股份,2017-06-30,0,334886175.99,640875420.86,110566588.85,53705756.04,2.057E7,95201849.11,163708896.19,18182990.18,3843984.67,31444.44,601665384.82,110566588.85,43747854,15000.0
17485305.58,SZ300610,10096585.62,723848717.12,723848717.12,82563159.22,晨化股份,2017-03-31,0,151417567.12,627459240.97,96389476.15,51771394.67,7510000.0,81889036.75,153696511.93,18182990.18,3913505.05,108.75,589829309.37,96389476.15,19256254.9,10000.0
净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
149318066.38,SZ002088,138014834.12,2469022062.76,2469022062.76,295602985.25,鲁阳节能,2018-06-30,11.9,763885353.59,1852007073.39,617014989.37,602299340.59,8.173E7,600092546.86,917667805.07,158414490.88,16330048.34,4833.33,1509451863.59,617014989.37,171471380.09,35096.8
53212359.26,SZ002088,139063519.39,2387508318.25,2387508318.25,282079475.07,鲁阳节能,2018-03-31,0,308213273.35,1927394486.38,460113831.87,618675806.81,3.694E7,442379514.36,997046114.45,158414490.88,15953943.27,32773.97,1461459857.08,460113831.87,60600653.63,35096.8
213751286,SZ002088,140113120.96,2439903088.49,2439903088.49,208088033.42,鲁阳节能,2017-12-31,0,1595779826.14,1874182127.12,565720961.37,632047065.14,1.92E8,547753768.86,943833755.19,158414490.88,16224571.56,53166.67,1533484674.28,565720961.37,245871461.4,35096.8
139137255.28,SZ002088,141456936.01,2292467662.84,2292467662.84,184299731.45,鲁阳节能,2017-09-30,0,1109488495.22,1799568096.4,492899566.44,640702118.28,1.3400000000000001E8,473771342.44,887859285.1,139774930.25,14407278.36,66458.33,1246122997.3,492899566.44,161054063.81,35096.8
62667179.05,SZ002088,142508683.01,2183593149.77,2183593149.77,214828148.66,鲁阳节能,2017-06-30,0,657606649.71,1723098020.17,460495129.6,650560747.06,9.216E7,440766905.6,811389208.87,139774930.25,14407271.77,66458.33,1288094316.32,460495129.6,70639450.23,35096.8
17017625.63,SZ002088,143561935.62,2158328947.27,2158328947.27,225026799.74,鲁阳节能,2017-03-31,0,267448227.64,1700846335.65,457482611.62,665058199.75,4.348E7,443119387.62,789137524.35,139774930.25,13589333.3,79750,1242630119.72,457482611.62,19110293.26,35096.8
净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
79416506.72,SZ300127,20171724.99,1217214415.69,1217214415.69,117738761.83,银河磁体,2018-06-30,11.64,303103990.11,1152986897.71,64227517.98,168118127.52,7710000.0,63090527.73,203922583.36,123725794.63,2049681.18,,1021447556.43,64227517.98,93252603.92,32314.64
36069979.72,SZ300127,20608408.11,1307187529.88,1307187529.88,114815044.22,银河磁体,2018-03-31,0,145672262.18,1256616232.71,50571297.17,168477490.73,3920000.0,49300770.94,306235706.98,123725794.63,1780717.88,,1111687114.16,50571297.17,42433421.55,32314.64
194294829,SZ300127,20941672.43,1291430760.68,1291430760.68,118273453.73,银河磁体,2017-12-31,0,526814340.41,1220546252.99,70884507.69,170941269.4,1.468E7,69480445.48,270578308.54,123725794.63,2084795.58,,1091696279.27,70884507.69,226896271.64,32314.64
149122205.54,SZ300127,21375791.45,1232316846.57,1232316846.57,121018481.56,银河磁体,2017-09-30,0,374603592.36,1175373629.53,56943217.04,172873680.83,1.078E7,52991240.99,245084878.56,104477982.11,2102108.45,,1032135973.84,56943217.04,175427526.35,32314.64
110910606.16,SZ300127,21809910.47,1210756936.22,1210756936.22,113434466.21,银河磁体,2017-06-30,0,236101165.91,1137162030.15,73594906.07,174193976.4,6770000.0,69453035.62,207275595.98,104477982.11,2065679.28,,1008716553.07,73594906.07,130578176.17,32314.64
30161445.73,SZ300127,22244029.49,1202082099.17,1202082099.17,119278552.85,银河磁体,2017-03-31,0,121599397.72,1138499459.72,63582639.45,175974622.53,3190000.0,59250874.61,207560551.57,104477982.11,2076420.62,,998266306.53,63582639.45,35500076.94,32314.64
净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
8230179063.68,SH600309,2473919642.72,68092765754.54,68092765754.54,7410616495.06,万华化学,2018-06-30,41.59,30054174638.75,34579356675.52,33513409079.02,27270488991.49,7.89E8,27377833213.5,22168925381.45,2823172641.71,988608457.95,60343243.96,25134530142.21,33513409079.02,10305494586.57,273401.28
4133907599.19,SH600309,2486784167.23,66423338186.79,66423338186.79,7898344150.15,万华化学,2018-03-31,0,13601913514.62,30778130184.91,35645208001.88,27737713996.05,3.52E8,28275828849.74,18764713145.3,2823172641.71,965237825.4,49009384.32,25165932421.8,35645208001.88,5184450306.19,273401.28
13309319707.98,SH600309,2521052340.83,65827732248.24,65827732248.24,6999627326.74,万华化学,2017-12-31,0,53123173258.81,30754126558.37,35073605689.87,27610330297.2,1.42E9,27820093004.37,19320010167.13,2823172641.71,1025337106.74,31970671.84,25200214623.69,35073605689.87,16749735790.28,273401.28
9262752849.29,SH600309,2515787026.27,62752997595.24,62752997595.24,6321078779.47,万华化学,2017-09-30,0,38963503949.47,26687174094.33,36065823500.91,26875745942.34,1.04E9,27736483091.02,17240077847.09,1579310659.11,971554072.53,37532176.21,23696301606.51,36065823500.91,11690137239.4,227834.4
5809561228.63,SH600309,2540428030.38,59988083047.2,59988083047.2,6322000146.63,万华化学,2017-06-30,0,24430086476.77,24886251357.59,35101831689.61,27854423659.35,6.72E8,25906477057.43,14290119747.36,1579310659.11,644164375.1,32269102.34,21692102274.01,35101831689.61,7390175734.61,273401.28
2587827668.66,SH600309,2575537098.3,56918093537.16,56918093537.16,5670195142.47,万华化学,2017-03-31,0,11007048624.78,23380532948.11,33537560589.05,28324221866.42,3.04E8,23338671332.57,13218982473.92,1579310659.11,558368491.56,112469532.26,19038392159.71,33537560589.05,3351389735.88,227834.4
净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
293421518.66,SH600111,611168642.62,21190295094.65,21190295094.65,8111997505.89,北方稀土,2018-06-30,9.38,5693751984.07,10722292626.27,10468002468.38,2689063855.96,3.135E7,6067394142.67,3684889917,1255367054.12,606678374.13,92473798.35,14830619395.26,10468002468.38,410786841.32,363306.6
155911027.83,SH600111,635438354.77,21697930611.27,21697930611.27,7524351650.72,北方稀土,2018-03-31,0,3019591141.1,10784689371.57,10913241239.7,2711166344.78,1.657E7,6988550869.19,3703326881.3,1255367054.12,679879210.25,46829605.23,16417003728.61,10913241239.7,218126735.17,363306.6
696712840.58,SH600111,600497108.1,20600877384.71,20600877384.71,7505162976.88,北方稀土,2017-12-31,0,10203975366.68,10648478979.61,9952398405.1,2734771325.19,7.756E7,6039390778.47,3594309986.75,1255367054.12,709390309.87,105417633.52,15324499733.72,9952398405.1,800484768.17,363306.6
650017349.41,SH600111,602593753.45,22027818353.34,22027818353.34,5938002569.5,北方稀土,2017-09-30,0,7093409419.03,10550335497.24,11477482856.1,2634390053.81,5.67E7,7519749667.57,3619749380.74,1177706655.16,639015460.24,63444703.25,16810619653.71,11477482856.1,769094414.72,363306.6
220862274.38,SH600111,584796482.77,18323847525.59,18323847525.59,5097256799.83,北方稀土,2017-06-30,0,4075379114.65,10072692797.44,8251154728.15,2609592382.95,3.492E7,5907670983.68,3382595228.27,1177706655.16,609428205.58,28262678.09,13316316705.8,8251154728.15,330890399.4,363306.6
98139339.26,SH600111,535915492.43,18020558893.28,18020558893.28,5033278952.43,北方稀土,2017-03-31,0,1929028735.21,9850338380.11,8170220513.17,2674955725.35,1.609E7,5839730876.42,3381425399.8,1177706655.16,655250622.39,3668296.23,12921033207.15,8170220513.17,127570951.79,363306.6
净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
43989180.8,SZ000751,860339361.87,4591396056.89,4591396056.89,1527662060.18,锌业股份,2018-06-30,3.1,3954703663.19,2430450928.08,2160945128.81,906342129.23,1.628E7,2066014698.69,-667000063.5,371807964.38,,,2552634104.95,2160945128.81,44013902.88,140986.93
33799699.86,SZ000751,866066810.23,4465857407.15,4465857407.15,1646196380.68,锌业股份,2018-03-31,0,1946292560.32,2420261447.14,2045595960.01,918955501.8,7550000.0,1948084875.49,-677189544.44,371807964.38,,,2424094889.17,2045595960.01,33824421.94,140986.93
226893374.75,SZ000751,802207020.95,4170896523.52,4170896523.52,1442701463.28,锌业股份,2017-12-31,0,6699527470.8,2386461747.28,1784434776.24,830767697.05,3.738E7,1478395897.76,-710989244.3,371807964.38,,1841818.78,2265590810.6,1784434776.24,226893497.71,140986.93
123523365.24,SZ000751,807629585.42,4201943855.33,4201943855.33,1458840870.76,锌业股份,2017-09-30,0,4796542490.55,2264939439.54,1937004415.79,790309153.05,2.817E7,1627532661.5,-814359597.08,371807964.38,,,2335812088.27,1937004415.79,123523365.24,140986.93
80631525.04,SZ000751,812838076.16,3846531314.91,3846531314.91,1376982448.18,锌业股份,2017-06-30,0,3134253056.74,2222047599.34,1624483715.57,793084761.46,2.057E7,1313774709.14,-857251437.28,371807964.38,,,2011741952.61,1624483715.57,80631525.04,140986.93
38000281.04,SZ000751,818046566.9,4230559180.95,4230559180.95,1563500326.48,锌业股份,2017-03-31,0,1696100803.32,2179416355.34,2051142825.61,799223991.52,1.198E7,1740346211.64,-899882681.28,371807964.38,,,2392929534.13,2051142825.61,38000281.04,140986.93
净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
5190761.84,SZ002201,86230683.73,2480283142.27,2480283142.27,214110791.07,九鼎新材,2018-06-30,6.43,481495117.92,885309185.5,1594973956.77,1300150992.99,3.09E7,1058353870.46,151832238.5,31951443.17,4359311.46,815738.17,685020633.28,1594973956.77,6172655.29,33246.75
2410734.67,SZ002201,87045757.75,2545647686.27,2545647686.27,229208159.83,九鼎新材,2018-03-31,0,222828993.98,882998215.87,1662649470.4,1335800508.27,1.161E7,1032945302.83,149701268.87,31951443.17,4374847.48,796239.3,733713628.61,1662649470.4,2961731.89,33246.75
-3600365.29,SZ002201,87860831.77,2740929575.85,2740929575.85,222643111.82,九鼎新材,2017-12-31,0,994216079.28,880118423.66,1860811152.19,1377648818.1,7.289E7,1159401073.65,146641476.66,31951443.17,4281300.89,716485.79,900263805.1,1860811152.19,-740798.48,33246.75
5063383.57,SZ002201,88675905.79,2627996251.82,2627996251.82,265698397.07,九鼎新材,2017-09-30,0,692484734.36,887601781.86,1740394469.96,1278419926.44,4.596E7,1154060644.78,158269122.19,29079247.51,3748541.83,778414.23,876477869.87,1740394469.96,8603843.45,25574.42
4349346.48,SZ002201,89490979.81,2545546557.71,2545546557.71,283894396.97,九鼎新材,2017-06-30,0,428850842.98,886310953.21,1659235604.5,1267160277.27,2.834E7,1021008515.77,157134441.46,29079247.51,3728278.96,670728.5,808904767.67,1659235604.5,7417106.3,33246.75
1985025.81,SZ002201,90306053.83,2579898315.12,2579898315.12,302525670.24,九鼎新材,2017-03-31,0,186548175.49,883946632.54,1695951682.58,1299440558.97,1.178E7,1003917265.72,154694867.43,29079247.51,3687896.46,996956.08,781445344.48,1695951682.58,2898704.42,25574.42
净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
53474183.14,SZ300325,121304148.82,4644057363.07,4644057363.07,551048750.7,德威新材,2018-06-30,3.21,1299511683.35,1798950133.09,2845107229.98,721347529.17,2.38E7,2436322332.93,430080970.99,52139727.59,9790496.31,1462135.26,3184939307.3,2845107229.98,66515628.75,100574.31
26538840.49,SZ300325,122745232.57,4518573659.19,4518573659.19,428224831.22,德威新材,2018-03-31,0,587897370.71,1766964884.49,2751608774.7,736143770.61,9130000.0,2415312617.73,411901689.3,52139727.59,9468445.27,358377.91,3068052875.89,2751608774.7,34069612.45,101067.24
20175312.68,SZ300325,124194744.05,4508622996.19,4508622996.19,429323936.51,德威新材,2017-12-31,0,1787441623.38,1744318888.5,2764304107.69,753008289.28,5.754E7,2427862022.06,395045231.42,52139727.59,9694783.63,1962135.26,3033935140.35,2764304107.69,32124931.38,101067.24
34003383.58,SZ300325,88452663.46,3934563635.05,3934563635.05,337252808.1,德威新材,2017-09-30,0,1420625972.09,1628477537.64,2306086097.41,478573647.89,3.898E7,2286004561.42,412101963.55,49099804.53,7197020.39,,3003226975.05,2306086097.41,44957451.13,101707.24
6468099.24,SZ300325,89683284.66,3740123284.22,3740123284.22,348384559.25,德威新材,2017-06-30,0,858201852.56,1604516706.74,2135606577.48,546914775.99,2.661E7,2115236602.51,386612932.46,49099804.53,7237981.65,1615549.44,2802162337.42,2135606577.48,12962003.44,101707.24
8952441.22,SZ300325,72306191.39,3406579171.32,3406579171.32,413929145.58,德威新材,2017-03-31,0,370162852.35,1529908437.97,1876670733.35,460523074.81,9600000.0,1854286928.47,406527745.8,49099804.53,7170192.27,,2714785229.16,1876670733.35,12415213.52,101707.24
净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
14308864.34,SZ300337,55549751.79,2741240427.87,2741240427.87,605122678.91,银邦股份,2018-06-30,6.58,973108451.94,1553281238.51,1187959189.36,1186502876.4,2.048E7,833600564.17,123376306.62,36854643.7,10949195.71,,1230230897.74,1187959189.36,14308864.34,82192.0
10652158.54,SZ300337,56077257.28,2824477243.22,2824477243.22,620536866.02,银邦股份,2018-03-31,0,475173107.06,1550614448.23,1273862794.99,1211438945.72,1.08E7,921570333.73,119718854.3,36854643.7,10949195.71,,1324529960.43,1273862794.99,10652158.54,82192.0
7837317.42,SZ300337,56618987.68,2694364517.53,2694364517.53,547658152.19,银邦股份,2017-12-31,0,1989102562.37,1539165241.19,1155199276.34,1236594344.32,4.47E7,791394102.21,109066695.76,36854643.7,10949195.71,,1219818942.75,1155199276.34,9649023.36,82192.0
5985992.3,SZ300337,56815350.77,2602843271.61,2602843271.61,517939680.52,银邦股份,2017-09-30,0,1398665414.6,1537300341.08,1065542930.53,1246958800.37,3.173E7,839904080.71,107215370.64,36854643.7,12760901.65,,1135208782.6,1065542930.53,5985992.3,82192.0
27522929.34,SZ300337,57202390.65,2683913856.31,2683913856.31,533720633.39,银邦股份,2017-06-30,0,887347082.91,1561900356.4,1122013499.91,1263724324.73,2.16E7,895610941.76,128752307.68,36854643.7,12760901.65,,1200460492.37,1122013499.91,27522929.34,82192.0
22051592.37,SZ300337,56764557.29,2607068061.08,2607068061.08,490728646.18,银邦股份,2017-03-31,0,430350785.41,1555934132.6,1051133928.48,1285666087.71,1.032E7,921665995.32,123280970.71,36854643.7,12760901.65,,1103297119.99,1051133928.48,22051592.37,82192.0
净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
11928187.24,SZ300093,31601722.29,1574747152.22,1574747152.22,279406903.69,金刚玻璃,2018-06-30,6.73,300107635.4,904567381.03,670179771.19,519429748.38,3.522E7,456933067.34,250709537.59,54690710.9,16249805.11,550907.2,974261375.6,670179771.19,14015905.53,21600.0
672281.22,SZ300093,31874104.23,1593161762.49,1593161762.49,258791499.08,金刚玻璃,2018-03-31,0,126842758.25,897205986.58,695955775.91,510664427.64,1.492E7,520716738.12,241591081.85,54737477.69,14075280.67,392635.44,1006672959.01,695955775.91,790919.07,21600.0
17889002.3,SZ300093,32146486.17,1542730309.02,1542730309.02,246096089.35,金刚玻璃,2017-12-31,0,600548553.47,895399922.47,647330386.55,516877823.09,4.723E7,515194204.15,240964232.88,54690710.9,13815467.54,231573.74,960000954.68,647330386.55,21779615.59,21600.0
13805909.87,SZ300093,32050871.91,1573851854.28,1573851854.28,259013083.16,金刚玻璃,2017-09-30,0,335845817.83,889165244.39,684686609.89,455503661.33,2.105E7,590338345.27,237021038.38,54540944.88,11401117.33,271273.72,1033713881.61,684686609.89,17072599.93,21600.0
9310609.94,SZ300093,32279094.3,1350757304.75,1350757304.75,198274627.05,金刚玻璃,2017-06-30,0,192661894.16,883141111.26,467616193.49,463579126.49,1.053E7,450852740.87,232526315.68,54540944.88,10383560.54,248605.39,810717943.75,467616193.49,11536780.03,21600.0
460986.09,SZ300093,32441523.7,1234776533.21,1234776533.21,110352632.88,金刚玻璃,2017-03-31,0,58463259.02,875105987.94,359670545.27,463732853.12,3980000.0,342791724.65,224098963.26,54540944.88,12852783.52,234123.55,702196684.48,359670545.27,533055.15,21600.0
净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
33483277.43,SZ000973,252754376.22,5651730579.79,5651730579.79,1097349623.8,佛塑科技,2018-06-30,3.6,1127972350.09,2442824613.75,3208905966.04,1409986826.15,3.166E7,2506904192.86,714638780.63,216236759.59,10960975.68,2884545.7,2634484148.2,3208905966.04,40569783.86,96742.32
16441414.2,SZ000973,254878681.25,5532953590.52,5532953590.52,1056127843.73,佛塑科技,2018-03-31,0,529131101.17,2454413445.65,3078540144.87,1441299180.52,1.439E7,2515854947.54,728894363.25,216236759.59,9799863.23,1750928.02,2499008787.55,3078540144.87,17984684.05,96742.32
118055810.53,SZ000973,257408348.47,5581600908.18,5581600908.18,1020706934.94,佛塑科技,2017-12-31,0,2511772199.03,2437972031.45,3143628876.73,1463094343.2,7.092E7,2624834796.67,713334120.24,216236759.59,10813387.01,24030777.88,2535497941.88,3143628876.73,125317044.83,96742.32
81050894.47,SZ000973,258089658.86,5472119822.52,5472119822.52,959599529.89,佛塑科技,2017-09-30,0,1893528159.71,2407771296.75,3064348525.77,1442625880.26,4.948E7,2131965277.44,685513456.88,201158387.1,5274247.9,34142037.61,2434553069.86,3064348525.77,93955498.07,96742.32
55809458.12,SZ000973,260646718.14,5096991242.09,5096991242.09,912519011.3,佛塑科技,2017-06-30,0,1237003156.82,2427524597.09,2669466645,1456510670.25,3.401E7,1668717471.9,665912535.62,201158387.1,5274247.9,23750748.47,2058342919.34,2669466645,64074151.6,96742.32
26389736.92,SZ000973,262858010.31,4935116650.83,4935116650.83,929158056.64,佛塑科技,2017-03-31,0,610582448.5,2455490542.36,2479626108.47,1306375913.15,1.619E7,1224844572.62,692784090.87,201158387.1,4805668.43,11264886.2,1883136513.86,2479626108.47,29939110.31,96742.32
净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
3386315908.19,SH600516,447412978.89,13334988949.02,13334988949.02,1926825730.88,方大炭素,2018-06-30,21.54,6082676850.15,10513521772.76,2821467176.26,1606198180.46,8.073E7,2467471788.22,5264457684.68,519122454.3,93431193.91,6458750.98,10337404739.57,2821467176.26,4115449866.21,178879.44
2029265531.49,SH600516,462994922.55,15799458953.14,15799458953.14,1705673403.74,方大炭素,2018-03-31,0,3521919798.06,12323323987.02,3476134966.12,1609418213.33,4.23E7,3120378720.85,7391074088.13,519122454.3,80827291.82,7772551.7,12805548702.04,3476134966.12,2432305938.27,178879.44
3972197131.21,SH600516,479920054.4,13952843216.55,13952843216.55,1406253492.02,方大炭素,2017-12-31,0,8350476104.76,10193691815.08,3759151401.47,1619465200.34,1.93E8,3401988193.42,5496606452.28,519122454.3,74241950.59,7597814.73,10987965194.03,3759151401.47,4830427772.93,178879.44
2216478510.58,SH600516,495080474.41,11562917135.29,11562917135.29,1174084305.98,方大炭素,2017-09-30,0,5229276758.86,8665197409.27,2897719726.02,1448728973.55,1.46E8,2598668581.24,4155982682.99,258444946.72,52004073.83,6455332.48,8427147440.48,2897719726.02,2642957509.93,171916.04
448303215.81,SH600516,504195349.03,8645191284.92,8645191284.92,906011769.33,方大炭素,2017-06-30,0,1813432386.19,6472065930.01,2173125354.91,1493660047.69,8.9E7,1872090978.3,2548719486.98,258444946.72,45188689.62,7241412.08,5730764087.68,2173125354.91,526692731.59,171916.04
72487890.91,SH600516,513310223.64,8020123435.06,8020123435.06,934299411.42,方大炭素,2017-03-31,0,692743375.54,6129575641.42,1890547793.64,1519200531.95,4.194E7,1589348566.1,2248208567.27,258444946.72,46311034.89,6542034.5,5218795499.14,1890547793.64,95149494.87,171916.04
净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
415394660.65,SZ002080,1088268302.74,23694805404.97,23694805404.97,2292481675.72,中材科技,2018-06-30,7.5,4745891786.04,10478462905.34,13216342499.63,10911432890.54,1.8E8,9572685610.26,2254259391.95,213417919.76,202512732.37,27684164.42,9924619788.81,13216342499.63,503187671.39,129086.43
162549199.49,SZ002080,1084526326.17,22881415057.62,22881415057.62,2119467887.54,中材科技,2018-03-31,0,2084392299.73,9389307843.95,13492107213.67,10901353047.4,8.176E7,9880947923.13,2260138359.63,213417919.76,203632033.94,24123850.06,9393635813.57,13492107213.67,200504751.44,129086.43
810516863.27,SZ002080,1087908258.47,22439813210.91,22439813210.91,1831177538.65,中材科技,2017-12-31,0,10267819232.27,9124640186.42,13315173024.49,11005094697.14,4.47E8,9573753901.31,2111902878.09,213417919.76,205047185.64,17710745.07,9086579098.06,13315173024.49,984253977.86,80679.02
632260538.7,SZ002080,993438698.83,22324472843.75,22324472843.75,2064845851.39,中材科技,2017-09-30,0,7230598670.58,8842015824.79,13482457018.96,10289528358.6,3.03E8,9305884612.98,1944595537.67,213417919.76,188913750.04,8680338.94,9238685677.18,13482457018.96,762801154.24,80679.02
395260946.35,SZ002080,1005475592.88,21715678587.05,21715678587.05,2049052390.39,中材科技,2017-06-30,0,4478596526.26,8585751552.06,13129927034.99,10230799536.88,1.94E8,9480560855.23,1718159760.82,213417919.76,189790384.25,48017172.3,9144121126.61,13129927034.99,473987777.74,80679.02
146857532.37,SZ002080,1013927508.44,20767387115.43,20767387115.43,1799405773.87,中材科技,2017-03-31,0,2032202046.03,8450423829.73,12316963285.7,8864642808.27,9.41E7,9117603874.91,1574404509.21,213417919.76,181868980.61,34349764.39,8407606770.75,12316963285.7,184771376.53,80679.02
净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
5517277.06,SH600237,20007315.89,1969089939.11,1969089939.11,230313227.12,铜峰电子,2018-06-30,3.66,452382070.93,1276607283.77,692482655.34,841503801.37,1.464E7,665928479.22,-230503773.22,69324874.67,16784943.44,438921.74,1038876820.43,692482655.34,5847681.09,56436.96
3193283.07,SH600237,20243483.45,2034878305.88,2034878305.88,246766879.37,铜峰电子,2018-03-31,0,205436388.06,1274283289.78,760595016.1,842515146.25,5150000.0,733523265.52,-232882916.6,69324874.67,16423957.65,434692.57,1094445576.98,760595016.1,3621381.89,56436.96
14508693.39,SH600237,20479651.01,2014050394.45,2014050394.45,241710335.31,铜峰电子,2017-12-31,0,813360704.69,1271090006.72,742960387.73,858168266.6,4.195E7,713259101.03,-235779458.67,69324874.67,16423957.65,452828.68,1052948960.13,742960387.73,20994205.6,56436.96
8749720.25,SH600237,20715818.57,1940602562.21,1940602562.21,210864938.85,铜峰电子,2017-09-30,0,597601181.81,1265331033.58,675271528.63,874423878.61,2.1E7,663447169.75,-241152762.06,69324874.67,16398743.9,409043.48,968699223.66,675271528.63,14020354.13,56436.96
6509721.59,SH600237,20951986.13,1973863745.56,1973863745.56,183647758.42,铜峰电子,2017-06-30,0,403308844.49,1263091034.92,710772710.64,852590536.03,1.242E7,697885844.31,-243498369.58,69324874.67,17065111.75,452543.48,990144955.76,710772710.64,11210900.99,56436.96
4692104.29,SH600237,19295040.55,2184060737.4,2184060737.4,187122883.07,铜峰电子,2017-03-31,0,191379966.44,1254743953.62,929316783.78,860557813.96,4470000.0,680949431.6,-245172795.01,69324874.67,17228657.53,1268914.87,1200293858.1,929316783.78,7041520.53,56436.96
净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
240763407.32,SZ000758,1094831083.82,22458312738.72,22458312738.72,3765385670.99,中色股份,2018-06-30,3.91,7557587046.62,7089206793.66,15369105945.06,3583155709.62,8.318E7,11756126009.15,2218791813.35,312740581.37,331452585.23,11208558.1,15623984553.16,15369105945.06,292072840.25,196937.84
175893163.83,SZ000758,1109920168.17,22071688882.54,22071688882.54,4097222494.89,中色股份,2018-03-31,0,3752035085,7012897891.18,15058790991.36,3638173418.33,4.073E7,12042053575.36,2225166467.02,312740581.37,260281880.21,17947370.86,15230980587.57,15058790991.36,248239157.27,196937.84
368943055.55,SZ000758,1123804624.44,22538977643.7,22538977643.7,4656732131.36,中色股份,2017-12-31,0,15427363380.28,6887504501.03,15651473142.67,3716324511.01,1.72E8,12662528441.01,2132924915.61,312740581.37,263614651.82,17990581.44,15575568883.11,15651473142.67,575506950.42,196937.84
372456363.15,SZ000758,1139002312.87,24169379953.49,24169379953.49,4530299963.51,中色股份,2017-09-30,0,14301833257.99,7007076722.28,17162303231.21,3574057816.31,1.27E8,14464438941.06,2149274337.34,312740581.37,159604017.3,22621987.89,17191632680.89,17162303231.21,573438472.4,196937.84
